account_id,account_name,account_revenue,account_employees,account_email,account_location
59,Ron-tech,3922.42,6837,ron-tech@example.com,Honolulu
60,Rundofase,1008.06,1238,rundofase@example.com,Anchorage
61,Scotfind,6354.87,16780,scotfind@example.com,Boise
62,Scottech,45.39,100,scottech@example.com,Spokane
63,Silis,2818.38,6290,silis@example.com,Chattanooga
64,Singletechno,2214.94,5374,singletechno@example.com,Knoxville
65,Sonron,1699.85,5108,sonron@example.com,Greensboro
66,Stanredtax,1698.2,3798,stanredtax@example.com,Winston-Salem
67,Statholdings,291.27,586,statholdings@example.com,Durham
68,Sterling Cooper,3814.15,10436,sterlingcooper@example.com,Reno
69,Streethex,1376.8,1165,streethex@example.com,Laredo
70,Sumace,167.89,493,sumace@example.com,Little Rock
71,Sunnamplex,894.37,1593,sunnamplex@example.com,Madison
72,The New York Inquirer,439.21,792,thenewyorkinquirer@example.com,Mobile
73,Toughzap,332.43,799,toughzap@example.com,Montgomery
74,Treequote,5266.09,8595,treequote@example.com,Des Moines
75,Umbrella Corporation,2022.14,5113,umbrellacorporation@example.com,Rochester
76,Vehement Capital Partners,646.1,883,vehementcapitalpartners@example.com,Providence
77,Warephase,2041.73,5276,warephase@example.com,Bridgeport
78,Xx-holding,7537.24,20293,xx-holding@example.com,New Haven
79,Xx-zobam,3838.39,8274,xx-zobam@example.com,Hartford
80,Y-corporation,2871.35,9561,y-corporation@example.com,Albany
81,Yearin,2261.05,3851,yearin@example.com,Syracuse
82,Zathunicon,71.12,144,zathunicon@example.com,Springfield
83,Zencorporation,40.79,142,zencorporation@example.com,Fort Lauderdale
84,Zoomit,324.19,978,zoomit@example.com,Harrisburg
85,Zotware,4478.47,13809,zotware@example.com,Scranton
86,Zumgoity,441.08,1210,zumgoity@example.com,Allentown
87,Dapper Baby Bumpers,0,37,dapperbabybumpers@example.com,Dayton
88,Go Go Espresso,0,221,gogoespresso@example.com,Toledo
89,Revolution Spanners,0,145,revolutionspanners@example.com,Akron
90,Time Out Electrical,0,67,timeoutelectrical@example.com,Grand Rapids
91,World Robots,0,32,worldrobots@example.com,Lexington
92,Toasters R Us,0,459,toastersrus@example.com,Champaign
93,Calamity Mixers,0,296,calamitymixers@example.com,Charleston
94,AWOLEX,0,1031,awolex@example.com,Columbia
95,Temp Solutions,0,226,tempsolutions@example.com,Savannah
